card,sus_1,sus_2,sus_3,sus_4,sus_5,dis_1,dis_2,dis_3,dis_4,dis_5,dis_6,dis_7,dis_8,dis_9,dis_10,dis_11,dis_12,dis_13,dis_14,dis_15,dis_16,dis_17,dis_18,dis_19,dis_20,dis_21,dis_22,dis_23,dis_24,dis_25,dis_26,dis_27,dis_28,dis_29,dis_30,dis_31,dis_32,dis_33,dis_34,dis_35,dis_36,dis_37,dis_38,dis_39,dis_40,dis_41,dis_42,dis_43,dis_44,dis_45,dis_46,dis_47,dis_48,dis_49,dis_50,dis_51,dis_52,dis_53,dis_54,dis_55,dis_56,dis_57,dis_58,dis_59,dis_60,dis_61,dis_62,dis_63,dis_64,dis_65,dis_66,dis_67,dis_68,dis_69,dis_70,dis_71,dis_72,dis_73,dis_74,dis_75,dis_76,dis_77,dis_78,dis_79,dis_80,dis_81,dis_82,dis_83,dis_84,label
fe1779057e0830414d9d2a0384be1319,7,12,200000,640,0,0,24,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,8,0,9,0,1,0,2,0,0,33,1,31,9,0,1,12,2,1
fe1779057e0830414d9d2a0384be1319,7,12,290000,928,0,0,24,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,8,0,9,0,1,0,2,0,0,33,1,31,9,0,1,12,2,1
fe1779057e0830414d9d2a0384be1319,7,12,0,0,0,0,136,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,10,10,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,258,21,0,0,1,0,2,0,0,18,262,17,0,0,1,0,0,1
fe30754104404a034668c8d65786627e,1,19,38800,388,0,0,172,0,0,0,1,0,2,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,15,15,1,2,0,15,0,0,0,0,0,0,5,1,0,2,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2,2,0,2,1,0,0,5,5,1,1,2,0,0,0,1
fe3a7db931c859beda60440bbb54c91e,1,18,1984000,0,0,0,117,1,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,5,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,7,10,0,13,0,0,0,18,0,17,3,10,0,0,0,1
fe3a7db931c859beda60440bbb54c91e,1,18,4984000,0,0,0,117,1,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,7,10,0,13,0,0,0,18,0,17,3,10,0,0,0,1
fe3a7db931c859beda60440bbb54c91e,4,17,2200000,0,0,0,51,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,533,8,0,10,0,13,0,0,0,9,551,10,0,10,0,0,0,1
fe3a7db931c859beda60440bbb54c91e,1,18,2984000,0,0,0,117,1,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,5,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,7,10,0,13,0,0,0,18,0,17,3,10,0,0,0,1
fe3a7db931c859beda60440bbb54c91e,1,18,4564000,0,0,0,117,1,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,5,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,7,10,0,13,0,0,0,18,0,17,3,10,0,0,0,1
00864734edbd02b525fd587bae278e3a,2,10,60000,360,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,2,0,0,0,0,2,2,0,2,2,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,23,4,0,4,0,4,27,0,0,2,8,3,0,4,0,0,0,0
00864734edbd02b525fd587bae278e3a,2,17,50000,360,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,2,0,0,0,0,2,2,0,2,2,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,23,45,5,4,0,4,27,0,0,31,8,28,5,4,0,0,0,0
