trans_tm,sys_tra_no,pdate
20171205145246,722536,20171205
20171206124028,83697,20171206
20171206124556,828490,20171206
20171206124245,178897,20171206
20171206124513,287397,20171206
20171206124351,509898,20171206
20171206124440,546198,20171206
20171206124150,218992,20171206
20171206124456,185996,20171206
20171206124334,721890,20171206
20171206124538,867894,20171206
20171207090258,648998,20171207
20171207090210,800990,20171207
20171207090232,633398,20171207
20171206192206,423790,20171206
20171206192342,38092,20171206
20171206192410,476690,20171206
20171206192154,959297,20171206
20171206192355,311093,20171206
20171206192117,974892,20171206
20171206192327,906395,20171206
20171206192131,247593,20171206
20171206192420,850391,20171206
20171206192218,270193,20171206
20171206192510,76392,20171206
20171206192434,487990,20171206
20171206192142,252693,20171206
20171209183953,52491,20171209
20171209184018,675985,20171209
20171210125510,357187,20171210
20171210125606,238685,20171210
20171210162224,993491,20171210
20171210162242,495783,20171210
20171209184607,812998,20171209
20171209070344,496884,20171209
20171209213708,207687,20171209
20171209213720,247696,20171209
20171209213731,78981,20171209
20171209213745,854193,20171209
20171209205623,626887,20171209
20171209205634,750292,20171209
20171209205651,482496,20171209
20171209205701,603086,20171209
20171209205712,808488,20171209
20171207110156,162690,20171207
20171207124325,887598,20171207
20171207124352,848289,20171207
20171207124437,547497,20171207
20171207124452,567785,20171207
20171207125854,846985,20171207
20171207140134,44596,20171207
20171207142826,284183,20171207
20171211161040,537190,20171211
20171211120520,445082,20171211
20171211120534,493580,20171211
20171211120607,338095,20171211
20171211120622,370981,20171211
20171211120634,318199,20171211
20171211120647,151096,20171211
20171211123223,194496,20171211
20171211153752,797591,20171211
20171212011040,381083,20171212
20171212010934,890798,20171212
20171212010948,259885,20171212
20171212011024,281896,20171212
20171212010959,566997,20171212
20171212011309,38589,20171212
20171212061453,972288,20171212
20171211145516,570984,20171211
20171211145616,591984,20171211
20171211150140,256298,20171211
20171211122626,131891,20171211
20171211122420,177299,20171211
20171212091002,83293,20171212
20171212091043,832788,20171212
20171212091022,945898,20171212
20171212173716,33786,20171212
20171212173744,46886,20171212
20171212173810,163094,20171212
20171212173836,879593,20171212
20171213103251,14480,20171213
20171213111447,703099,20171213
20171213120954,982389,20171213
20171213121043,448484,20171213
20171213121015,996989,20171213
20171213153712,698092,20171213
20171211061418,536788,20171211
20171211061427,262591,20171211
20171211061444,881093,20171211
20171211061500,115190,20171211
20171210185537,634883,20171210
20171210185557,630582,20171210
20171210185622,572481,20171210
20171210185634,737380,20171210
20171213125121,856792,20171213
20171212215354,337985,20171212
20171211014325,734593,20171211
20171207213147,626595,20171207
20171209124152,117998,20171209
20171213222944,768290,20171213
20171215143445,292790,20171215
20171215143517,932496,20171215
20171213174341,925298,20171213
20171213174417,201293,20171213
20171213174452,649280,20171213
20171215181645,809790,20171215
20171215181610,123186,20171215
20171215235447,226893,20171215
20171215173239,254784,20171215
20171215173207,528397,20171215
20171215173429,983292,20171215
20171215172641,85096,20171215
20171215172702,213689,20171215
20171215173218,925892,20171215
20171215173456,281280,20171215
20171214221403,869286,20171214
20171213175937,757189,20171213
20171213180041,111697,20171213
20171215211713,815182,20171215
20171215211643,848692,20171215
20171215132620,710582,20171215
20171215132643,40292,20171215
20171215132747,39198,20171215
20171216112148,735087,20171216
20171216154733,975692,20171216
20171216205846,619495,20171216
20171217161405,9882,20171217
20171216233451,374989,20171216
20171216233506,989583,20171216
20171209005301,577993,20171209
20171216173915,772896,20171216
20171216173902,881587,20171216
20171215225307,263197,20171215
20171212005059,542197,20171212
20171216111942,815698,20171216
20171216111956,588085,20171216
20171216112020,713183,20171216
20171211061105,728298,20171211
20171211225456,943796,20171211
20171211224738,141095,20171211
20171211224758,173184,20171211
20171215225921,551091,20171215
20171215225902,127189,20171215
20171211150658,836390,20171211
20171211150717,834094,20171211
20171211150746,73397,20171211
20171217193115,791695,20171217
20171217193139,593184,20171217
20171212203558,178781,20171212
20171212203752,778699,20171212
20171217213257,338493,20171217
20171217213217,783691,20171217
20171216162726,686198,20171216
20171216162830,662895,20171216
20171217144727,107990,20171217
20171217144735,542182,20171217
20171217144746,867397,20171217
20171217144754,588188,20171217
20171217144802,591983,20171217
20171217144811,553582,20171217
20171217144825,491092,20171217
20171216194641,537092,20171216
20171216194632,36385,20171216
20171217174859,903296,20171217
20171217174914,801183,20171217
20171217174946,773882,20171217
20171217175015,567195,20171217
20171217171213,136993,20171217
20171217171535,54481,20171217
20171217171557,172480,20171217
20171217171615,703295,20171217
20171217171631,255889,20171217
20171217171646,82196,20171217
20171217171703,583090,20171217
20171217171718,177187,20171217
20171217171733,158382,20171217
20171217171746,55288,20171217
20171217171802,242286,20171217
20171217210338,708887,20171217
20171217210355,766196,20171217
20171218090446,883987,20171218
20171218090459,842582,20171218
20171218090538,477290,20171218
20171217115335,349581,20171217
20171216162711,528690,20171216
20171216162807,644683,20171216
20171216162832,198693,20171216
20171216162902,727491,20171216
20171216162938,688195,20171216
20171216163014,576094,20171216
20171216163047,323089,20171216
20171216163106,769991,20171216
20171216163205,637290,20171216
20171216163220,116788,20171216
20171218175303,736394,20171218
20171218175614,196288,20171218
20171218175657,497193,20171218
20171218175737,236188,20171218
20171217170350,696788,20171217
20171217170405,921987,20171217
20171217170448,280094,20171217
20171217170516,730088,20171217
20171217170653,833196,20171217
20171215162034,844884,20171215
20171215162132,712097,20171215
20171215161859,27092,20171215
20171215162935,635893,20171215
20171215162842,721589,20171215
20171218231026,418087,20171218
20171218230942,514093,20171218
20171218230927,506497,20171218
20171218231114,441483,20171218
20171218231059,343385,20171218
20171218235827,394081,20171218
20171218231007,393582,20171218
20171216132650,654591,20171216
20171219112729,993180,20171219
20171219112700,263794,20171219
20171219112715,886285,20171219
20171219112811,683088,20171219
20171219112944,465495,20171219
20171219112745,997883,20171219
20171219112759,625392,20171219
20171219121833,242291,20171219
20171218223529,686590,20171218
20171218223504,361589,20171218
20171219144940,244997,20171219
20171219144952,767391,20171219
20171219145005,51888,20171219
20171219145022,91486,20171219
20171219145035,999396,20171219
20171217152757,373984,20171217
20171219160410,220798,20171219
20171219160459,427495,20171219
20171219160526,249698,20171219
20171219160616,754699,20171219
20171219164727,60686,20171219
20171219164740,913585,20171219
20171219164804,934789,20171219
20171219164817,663092,20171219
20171219164830,906597,20171219
20171219164945,740688,20171219
20171219170236,258197,20171219
20171219170353,650598,20171219
20171219170407,336599,20171219
20171219170425,346480,20171219
20171219170450,356489,20171219
20171219170505,416884,20171219
20171219170523,372689,20171219
20171219170538,378489,20171219
20171219170554,899795,20171219
20171219170636,129692,20171219
20171219200749,218194,20171219
20171219071210,582698,20171219
